Year,Order,Player,Club,Nationality,Points
1989,23,Gary Lineker,Tottenham Hotspur,England,1.0
1989,23,Paolo Maldini,Milan,Italy,1.0
1989,23,Theo Snelders,Aberdeen,Netherlands,1.0
1989,23,Gianluca Vialli,Sampdoria,Italy,1.0
1989,23,Oleksandr Zavarov,Juventus,Soviet Union,1.0
1990,1,Lothar Matthäus,Internazionale,Germany,137.0
1990,2,Salvatore Schillaci,Juventus,Italy,84.0
1990,3,Andreas Brehme,Internazionale,Germany,68.0
1990,4,Paul Gascoigne,Tottenham Hotspur,England,43.0
1990,5,Franco Baresi,Milan,Italy,37.0
1990,6,Enzo Scifo,Auxerre,Belgium,12.0
1990,6,Jürgen Klinsmann,Internazionale,Germany,12.0
1990,8,Roberto Baggio,Fiorentina / Juventus,Italy,8.0
1990,9,Frank Rijkaard,Milan,Netherlands,7.0
1990,10,Guido Buchwald,VfB Stuttgart,Germany,6.0
1990,11,Jean-Pierre Papin,Marseille,France,3.0
1990,12,Rafael Martín Vázquez,Real Madrid / Torino,Spain,2.0
1990,12,Paul McGrath,Aston Villa,Republic of Ireland,2.0
1990,12,Robert Prosinečki,Red Star Belgrade,Yugoslavia,2.0
1990,12,Des Walker,Nottingham Forest,England,2.0
1990,12,Walter Zenga,Internazionale,Italy,2.0
1990,12,Dragan Stojković,Red Star Belgrade,Yugoslavia,2.0
1990,18,John Barnes,Liverpool,England,1.0
1990,18,Michael Laudrup,Barcelona,Denmark,1.0
1990,18,Gary Lineker,Tottenham Hotspur,England,1.0
1990,18,David Platt,Aston Villa,England,1.0
1990,18,Rudi Völler,Roma,Germany,1.0
1990,18,Chris Waddle,Marseille,England,1.0
1991,1,Jean-Pierre Papin,Marseille,France,141.0
1991,2,Dejan Savićević,Red Star Belgrade,Yugoslavia,42.0
1991,2,Darko Pančev,Red Star Belgrade,Yugoslavia,42.0
1991,2,Lothar Matthäus,Internazionale,Germany,42.0
1991,5,Robert Prosinečki,Red Star Belgrade /  Real Madrid,Yugoslavia,34.0
1991,6,Gary Lineker,Tottenham Hotspur,England,33.0
1991,7,Gianluca Vialli,Sampdoria,Italy,18.0
1991,8,Miodrag Belodedici,Red Star Belgrade,Romania,15.0
1991,9,Mark Hughes,Manchester United,Wales,12.0
1991,10,Chris Waddle,Marseille,England,11.0
1991,11,Michael Laudrup,Barcelona,Denmark,7.0
1991,12,Rudi Völler,Roma,Germany,5.0
1991,13,Txiki Begiristain,Barcelona,Spain,3.0
1991,13,Stéphane Chapuisat,Borussia Dortmund,Switzerland,3.0
1991,13,Bruno Martini,Auxerre,France,3.0
1991,13,Paul McGrath,Aston Villa,Republic of Ireland,3.0
1991,13,Dean Saunders,Derby County / Liverpool,Wales,3.0
1991,13,Hristo Stoichkov,Barcelona,Bulgaria,3.0
1991,19,Roberto Mancini,Sampdoria,Italy,2.0
1991,19,Marco van Basten,Milan,Netherlands,2.0
1991,21,Guido Buchwald,VfB Stuttgart,Germany,1.0
1991,21,Thomas Doll,Lazio,Germany,1.0
1991,21,Stefan Effenberg,Bayern Munich,Germany,1.0
1991,21,Ruud Gullit,Milan,Netherlands,1.0
1991,21,Gheorghe Hagi,Real Madrid,Romania,1.0
1991,21,Alexei Mikhailichenko,Rangers,Soviet Union,1.0
1991,21,Gary Pallister,Manchester United,England,1.0
1991,21,Dimitris Saravakos,Panathinaikos,Greece,1.0
1991,21,Gianluca Pagliuca,Sampdoria,Italy,1.0
1991,21,Guy Hellers,Standard Liège,Luxembourg,1.0
1991,21,Laurent Blanc,Napoli,France,1.0
1992,1,Marco van Basten,Milan,Netherlands,98.0
1992,2,Hristo Stoichkov,Barcelona,Bulgaria,80.0
1992,3,Dennis Bergkamp,Ajax,Netherlands,53.0
1992,4,Thomas Häßler,Roma,Germany,42.0
1992,5,Peter Schmeichel,Manchester United,Denmark,41.0
1992,6,Brian Laudrup,Fiorentina,Denmark,32.0
1992,7,Michael Laudrup,Barcelona,Denmark,22.0
1992,8,Ronald Koeman,Barcelona,Netherlands,14.0
1992,9,Stéphane Chapuisat,Borussia Dortmund,Switzerland,10.0
1992,10,Frank Rijkaard,Milan,Netherlands,8.0
1992,10,Enzo Scifo,Torino,Belgium,8.0
1992,12,Flemming Povlsen,Borussia Dortmund,Denmark,6.0
1992,13,Henrik Larsen,Pisa,Denmark,4.0
1992,14,John Jensen,Arsenal,Denmark,3.0
1992,14,Paolo Maldini,Milan,Italy,3.0
1992,16,Henrik Andersen,1. FC Köln,Denmark,2.0
1992,16,David Platt,Juventus,England,2.0
1992,16,Tomas Brolin,Parma,Sweden,2.0
1992,16,Jean-Pierre Papin,Milan,France,2.0
1992,20,Franco Baresi,Milan,Italy,1.0
1992,20,Rune Bratseth,Werder Bremen,Norway,1.0
1993,1,Roberto Baggio,Juventus,Italy,192.0
1993,2,Dennis Bergkamp,Internazionale,Netherlands,83.0
1993,3,Eric Cantona,Manchester United,France,34.0
1993,4,Alen Bokšić,Lazio,Croatia,29.0
1993,5,Michael Laudrup,Barcelona,Denmark,27.0
1993,6,Franco Baresi,Milan,Italy,24.0
1993,7,Paolo Maldini,Milan,Italy,19.0
1993,8,Emil Kostadinov,Porto,Bulgaria,11.0
1993,9,Stéphane Chapuisat,Borussia Dortmund,Switzerland,9.0
1993,9,Ryan Giggs,Manchester United,Wales,9.0
1993,11,Andreas Möller,Juventus,Germany,7.0
1993,12,Ruud Gullit,Sampdoria,Netherlands,6.0
1993,12,Peter Schmeichel,Manchester United,Denmark,6.0
1993,12,Hristo Stoichkov,Barcelona,Bulgaria,6.0
1993,15,Basile Boli,Marseille,France,5.0
1993,15,Rune Bratseth,Werder Bremen,Norway,5.0
1993,17,Enzo Scifo,Monaco,Belgium,4.0
1993,18,Andreas Herzog,Werder Bremen,Austria,3.0
1993,18,Ronald Koeman,Barcelona,Netherlands,3.0
1993,18,Jari Litmanen,Ajax,Finland,3.0
1993,21,Dino Baggio,Juventus,Italy,2.0
1993,21,Sergei Kiriakov,Karlsruher SC,Russia,2.0
1993,21,David Platt,Sampdoria,England,2.0
1993,21,Franck Sauzée,Atalanta,France,2.0
1993,21,Giuseppe Signori,Lazio,Italy,2.0
1993,26,Tomas Brolin,Parma,Sweden,1.0
1993,26,Martin Dahlin,Borussia Mönchengladbach,Sweden,1.0
1993,26,Georges Grün,Parma,Belgium,1.0
1993,26,Stelios Manolas,AEK Athens,Greece,1.0
1993,26,Paul McGrath,Aston Villa,Republic of Ireland,1.0
1994,1,Hristo Stoichkov,Barcelona,Bulgaria,210.0
1994,2,Roberto Baggio,Juventus,Italy,136.0
1994,3,Paolo Maldini,Milan,Italy,109.0
1994,4,Gheorghe Hagi,Barcelona,Romania,68.0
1994,4,Tomas Brolin,Parma,Sweden,68.0
1994,6,Jürgen Klinsmann,Tottenham Hotspur,Germany,43.0
1994,7,Thomas Ravelli,IFK Göteborg,Sweden,21.0
1994,8,Jari Litmanen,Ajax,Finland,12.0
1994,9,Marcel Desailly,Milan,France,8.0
1994,9,Dejan Savićević,Milan,FR Yugoslavia,8.0
1994,11,Franco Baresi,Milan,Italy,7.0
1994,11,Michel Preud'homme,Benfica,Belgium,7.0
1994,13,Michael Laudrup,Real Madrid,Denmark,4.0
1994,13,Yordan Letchkov,Hamburger SV,Bulgaria,4.0
1994,13,Eric Cantona,Manchester United,France,4.0
1994,16,Krasimir Balakov[notes 1],Sporting CP,Bulgaria,3.0
1994,16,José Luis Caminero,Atlético Madrid,Spain,3.0
1994,16,Jean-Pierre Papin,Bayern Munich,France,3.0
1994,16,Giuseppe Signori,Lazio,Italy,3.0
1994,16,Lothar Matthäus,Bayern Munich,Germany,3.0
1994,21,Philippe Albert,Newcastle United,Belgium,2.0
1994,21,Otto Konrad,Austria Salzburg,Austria,2.0
1994,21,Ciriaco Sforza,Kaiserslautern,Switzerland,2.0
1994,24,Kennet Andersson,Caen,Sweden,1.0
1994,24,Zvonimir Boban,Milan,Croatia,1.0
1994,24,Martin Dahlin,Borussia Mönchengladbach,Sweden,1.0
1994,24,Pep Guardiola,Barcelona,Spain,1.0
1994,24,Andreas Möller,Borussia Dortmund,Germany,1.0
1995,1,George Weah,Paris Saint-Germain / Milan,Liberia,144.0
1995,2,Jürgen Klinsmann,Tottenham Hotspur F.C. /  Bayern Munich,Germany,108.0
1995,3,Jari Litmanen,Ajax,Finland,67.0
1995,4,Alessandro Del Piero,Juventus,Italy,57.0
1995,5,Patrick Kluivert,Ajax,Netherlands,47.0
1995,6,Gianfranco Zola,Parma,Italy,41.0
1995,7,Paolo Maldini,Milan,Italy,36.0
1995,8,Marc Overmars,Ajax,Netherlands,33.0
1995,9,Matthias Sammer,Borussia Dortmund,Germany,18.0
1995,10,Michael Laudrup,Real Madrid,Denmark,17.0
1995,11,Marcel Desailly,Milan,France,16.0
1995,12,Frank Rijkaard,Ajax,Netherlands,15.0
1995,12,Fabrizio Ravanelli,Juventus,Italy,15.0
1995,14,Paulo Sousa,Juventus,Portugal,14.0
1995,14,Hristo Stoichkov,Parma,Bulgaria,14.0
1995,16,Dejan Savićević,Milan,Yugoslavia,12.0
1995,17,Davor Šuker,Sevilla,Croatia,10.0
1995,18,Fernando Hierro,Real Madrid,Spain,9.0
1995,19,Gianluca Vialli,Juventus,Italy,8.0
1995,20,Gabriel Batistuta,Fiorentina,Argentina,7.0
1995,21,Franco Baresi,Milan,Italy,6.0
1995,21,Finidi George,Ajax,Nigeria,6.0
1995,23,Roberto Baggio,Juventus,Italy,5.0
1995,23,Tony Yeboah,Leeds United,Ghana,5.0
1995,23,Zvonimir Boban,Milan,Croatia,5.0
1995,26,Ronaldo,PSV Eindhoven,Brazil,4.0
1995,27,Juan Esnáider,Real Zaragoza /  Real Madrid,Argentina,3.0
1995,27,Iván Zamorano,Real Madrid,Chile,3.0
1995,27,Andreas Möller,Borussia Dortmund,Germany,3.0
1995,30,Vítor Baía,Porto,Portugal,2.0
1995,30,Bebeto,Deportivo La Coruña,Brazil,2.0
1995,32,Alan Shearer,Blackburn Rovers,England,1.0
1995,32,Luís Figo,Barcelona,Portugal,1.0
1995,32,Ian Wright,Arsenal,England,1.0
1996,1,Matthias Sammer,Borussia Dortmund,Germany,144.0
1996,2,Ronaldo,PSV Eindhoven / Barcelona,Brazil,143.0
1996,3,Alan Shearer,Blackburn Rovers /  Newcastle United,England,107.0
1996,4,Alessandro Del Piero,Juventus,Italy,69.0
1996,5,Jürgen Klinsmann,Bayern Munich,Germany,60.0
1996,6,Davor Šuker,Real Madrid,Croatia,38.0
1996,7,Eric Cantona,Manchester United,France,24.0
1996,8,Marcel Desailly,Milan,France,22.0
1996,9,Youri Djorkaeff,Internazionale,France,20.0
1996,10,Karel Poborský,Slavia Prague /  Manchester United,Czech Republic,15.0
1996,11,Nwankwo Kanu,Internazionale,Nigeria,14.0
1996,12,George Weah,Milan,Liberia,13.0
1996,13,Alen Bokšić,Juventus,Croatia,12.0
1996,13,Gabriel Batistuta,Fiorentina,Argentina,12.0
1996,13,Andreas Köpke,Marseille,Germany,12.0
1996,16,Fabrizio Ravanelli,Middlesbrough,Italy,9.0
1996,16,Predrag Mijatović,Real Madrid,Yugoslavia,9.0
1996,18,Didier Deschamps,Juventus,France,8.0
1996,19,Kubilay Türkyilmaz,Grasshopper,Switzerland,5.0
1996,20,David Seaman,Arsenal,England,4.0
1996,20,Raúl,Real Madrid,Spain,4.0
1996,22,Paolo Maldini,Milan,Italy,3.0
1996,22,Christian Ziege,Bayern Munich,Germany,3.0
1996,22,Patrik Berger,Borussia Dortmund / Liverpool,Czech Republic,3.0
1996,22,Trifon Ivanov,Rapid Wien,Bulgaria,3.0
1996,26,Radek Bejbl,Slavia Prague / Atlético Madrid,Czech Republic,2.0
1996,26,Rui Costa,Fiorentina,Portugal,2.0
1996,28,Ronald de Boer,Ajax,Netherlands,1.0
1996,28,Luís Figo,Barcelona,Portugal,1.0
1996,28,Brian Laudrup,Rangers,Denmark,1.0
1996,28,Sergi,Barcelona,Spain,1.0
1996,28,Zinedine Zidane,Juventus,France,1.0
1997,1,Ronaldo,Barcelona /  Internazionale,Brazil,222.0
1997,2,Predrag Mijatović,Real Madrid,FR Yugoslavia,68.0
1997,3,Zinedine Zidane,Juventus,France,63.0
1997,4,Dennis Bergkamp,Arsenal,Netherlands,53.0
1997,5,Roberto Carlos,Real Madrid,Brazil,47.0
1997,6,Andreas Möller,Borussia Dortmund,Germany,40.0
1997,7,Raúl,Real Madrid,Spain,35.0
1997,8,Peter Schmeichel,Manchester United,Denmark,19.0
1997,9,Jürgen Kohler,Borussia Dortmund,Germany,17.0
1997,10,Matthias Sammer,Borussia Dortmund,Germany,16.0
1997,10,Christian Vieri,Atlético Madrid,Italy,16.0
1997,12,Youri Djorkaeff,Internazionale,France,15.0
1997,13,Luis Enrique,Barcelona,Spain,14.0
1997,14,Luís Figo,Barcelona,Portugal,12.0
1997,15,Gianfranco Zola,Chelsea,Italy,11.0
1997,15,Krasimir Balakov,VfB Stuttgart,Bulgaria,11.0
1997,17,Didier Deschamps,Juventus,France,10.0
1997,17,Clarence Seedorf,Real Madrid,Netherlands,10.0
1997,19,Alessandro Del Piero,Juventus,Italy,9.0
1997,19,Alan Shearer,Newcastle United,England,9.0
1997,19,David Beckham,Manchester United,England,9.0
1997,22,Fernando Hierro,Real Madrid,Spain,8.0
1997,23,Gabriel Batistuta,Fiorentina,Argentina,7.0
1997,24,Olaf Thon,Schalke 04,Germany,6.0
1997,25,Juninho,Atlético Madrid,Brazil,5.0
1997,25,Paulo Sousa,Borussia Dortmund,Portugal,5.0
1997,25,Lilian Thuram,Parma,France,5.0
1997,28,Ryan Giggs,Manchester United,Wales,4.0
1997,29,Oliver Bierhoff,Udinese,Germany,3.0
1997,29,Angelo Peruzzi,Juventus,Italy,3.0
1997,29,Raí,Paris Saint-Germain,Brazil,3.0
1997,32,Victor Ikpeba,Monaco,Nigeria,2.0
1997,33,Laurent Blanc,Marseille,France,1.0
1997,33,Ciro Ferrara,Juventus,Italy,1.0
1997,33,Rivaldo,Barcelona,Brazil,1.0
1997,33,Bent Skammelsrud,Rosenborg,Norway,1.0
1998,1,Zinedine Zidane,Juventus,France,244.0
1998,2,Davor Šuker,Real Madrid,Croatia,68.0
1998,3,Ronaldo,Internazionale,Brazil,66.0
1998,4,Michael Owen,Liverpool,England,51.0
1998,5,Rivaldo,Barcelona,Brazil,45.0
1998,6,Gabriel Batistuta,Fiorentina,Argentina,43.0
1998,7,Lilian Thuram,Parma,France,36.0
1998,8,Edgar Davids,Juventus,Netherlands,28.0
1998,8,Dennis Bergkamp,Arsenal,Netherlands,28.0
1998,10,Marcel Desailly,Chelsea,France,19.0
1998,11,Frank de Boer,Ajax,Netherlands,17.0
1998,12,Emmanuel Petit,Arsenal,France,16.0
1998,13,Roberto Carlos,Real Madrid,Brazil,13.0
1998,14,Laurent Blanc,Marseille,France,11.0
1998,14,Fabien Barthez,Monaco,France,11.0
1998,16,Alessandro Del Piero,Juventus,Italy,10.0
1998,16,Predrag Mijatović,Real Madrid,Yugoslavia,10.0
1998,18,Didier Deschamps,Juventus,France,9.0
1998,18,Oliver Bierhoff,Milan,Germany,9.0
1998,20,Michael Laudrup,Ajax,Denmark,6.0
1998,21,Ronald de Boer,Ajax,Netherlands,4.0
1998,21,Raúl,Real Madrid,Spain,4.0
1998,23,Brian Laudrup,Chelsea,Denmark,3.0
1998,23,Clarence Seedorf,Real Madrid,Netherlands,3.0
1998,23,Marc Overmars,Arsenal,Netherlands,3.0
1998,26,Christian Vieri,Lazio,Italy,2.0
1998,26,Fernando Hierro,Real Madrid,Spain,2.0
1998,28,David Beckham,Manchester United,England,1.0
1998,28,Luis Enrique,Barcelona,Spain,1.0
1998,28,Bixente Lizarazu,Bayern Munich,France,1.0
1998,28,Nikos Machlas,Vitesse,Greece,1.0
1999,1,Rivaldo,Barcelona,Brazil,219.0
1999,2,David Beckham,Manchester United,England,154.0
1999,3,Andriy Shevchenko,Milan,Ukraine,64.0
1999,4,Gabriel Batistuta,Fiorentina,Argentina,48.0
1999,5,Luís Figo,Barcelona,Portugal,38.0
1999,6,Roy Keane,Manchester United,Republic of Ireland,36.0
1999,7,Christian Vieri,Lazio,Italy,33.0
1999,8,Juan Sebastián Verón,Lazio,Argentina,30.0
1999,9,Raúl,Real Madrid,Spain,27.0
1999,10,Lothar Matthäus,Bayern Munich,Germany,16.0
1999,11,Dwight Yorke,Manchester United,Trinidad and Tobago,14.0
1999,12,Jaap Stam,Manchester United,Netherlands,13.0
1999,13,Siniša Mihajlović,Lazio,FR Yugoslavia,12.0
1999,14,Zlatko Zahovič,Olympiacos,Slovenia,9.0
1999,15,Pavel Nedvěd,Lazio,Czech Republic,8.0
1999,16,Mário Jardel,Porto,Brazil,7.0
1999,17,Peter Schmeichel,Manchester United,Denmark,6.0
1999,18,Stefan Effenberg,Bayern Munich,Germany,5.0
1999,19,Zinedine Zidane,Juventus,France,4.0
1999,19,Oliver Bierhoff,Milan,Germany,4.0
1999,21,Mario Basler,Bayern Munich,Germany,3.0
1999,21,Ryan Giggs,Manchester United,Wales,3.0
1999,23,Hernán Crespo,Parma,Argentina,2.0
1999,23,Nwankwo Kanu,Arsenal,Nigeria,2.0
1999,23,Ronaldo,Internazionale,Brazil,2.0
1999,26,Andy Cole,Manchester United,England,1.0
1999,26,Edgar Davids,Juventus,Netherlands,1.0
1999,26,David Ginola,Tottenham Hotspur,France,1.0
1999,26,Claudio López,Valencia,Argentina,1.0
1999,26,Roberto Carlos,Real Madrid,Brazil,1.0
1999,26,Marcelo Salas,Lazio,Chile,1.0
2000,1,Luís Figo,Barcelona /  Real Madrid,Portugal,197.0
2000,2,Zinedine Zidane,Juventus,France,181.0
2000,3,Andriy Shevchenko,Milan,Ukraine,85.0
2000,4,Thierry Henry,Arsenal,France,57.0
2000,5,Alessandro Nesta,Lazio,Italy,39.0
2000,5,Rivaldo,Barcelona,Brazil,39.0
2000,7,Gabriel Batistuta,Roma,Argentina,26.0
2000,8,Gaizka Mendieta,Valencia,Spain,22.0
2000,9,Raúl,Real Madrid,Spain,18.0
2000,10,Paolo Maldini,Milan,Italy,10.0
2000,10,David Beckham,Manchester United,England,10.0
2000,12,Zlatko Zahovič,Olympiacos / Valencia,Slovenia,8.0
2000,12,Fabien Barthez,Manchester United,France,8.0
2000,14,Francesco Toldo,Fiorentina,Italy,7.0
2000,14,Francesco Totti,Roma,Italy,7.0
2000,14,Roberto Carlos,Real Madrid,Brazil,7.0
2000,17,Patrick Kluivert,Barcelona,Netherlands,6.0
2000,18,Edgar Davids,Juventus,Netherlands,5.0
2000,18,Hakan Şükür,Internazionale,Turkey,5.0
2000,18,Mário Jardel,Galatasaray,Brazil,5.0
2000,18,Fernando Redondo,Real Madrid /Milan,Argentina,5.0
2000,22,Pavel Nedvěd,Lazio,Czech Republic,4.0
2000,22,David Trezeguet,Juventus,France,4.0
2000,24,Marcel Desailly,Chelsea,France,2.0
2000,24,Oliver Kahn,Bayern Munich,Germany,2.0
2000,24,Rui Costa,Fiorentina,Portugal,2.0
2000,27,Laurent Blanc,Internazionale,France,1.0
2000,27,Claudio López,Valencia / Lazio,Argentina,1.0
2000,27,Roy Keane,Manchester United,Republic of Ireland,1.0
2000,27,Juan Sebastián Verón,Lazio,Argentina,1.0
2001,1,Michael Owen,Liverpool,England,176.0
2001,2,Raúl,Real Madrid,Spain,140.0
2001,3,Oliver Kahn,Bayern Munich,Germany,114.0
2001,4,David Beckham,Manchester United,England,102.0
2001,5,Francesco Totti,A.S. Roma,Italy,57.0
2001,6,Luís Figo,Real Madrid,Portugal,56.0
2001,7,Rivaldo,Barcelona,Brazil,20.0
2001,8,Andriy Shevchenko,Milan,Ukraine,18.0
2001,9,Thierry Henry,Arsenal,France,14.0
2001,9,Zinedine Zidane,Real Madrid,France,14.0
2001,11,Bixente Lizarazu,Bayern Munich,France,10.0
2001,12,David Trezeguet,Juventus,France,7.0
2001,13,Stefan Effenberg,Bayern Munich,Germany,6.0
2001,14,Henrik Larsson,Celtic,Sweden,4.0
2001,14,Alessandro Nesta,Lazio,Italy,4.0
2001,16,Juan Sebastián Verón,Lazio /  Manchester United,Argentina,3.0
2001,16,Hernán Crespo,Lazio,Argentina,3.0
2001,18,Giovane Élber,Bayern Munich,Brazil,2.0
2001,18,Gaizka Mendieta,Valencia / Lazio,Spain,2.0
2001,18,Roberto Carlos,Real Madrid,Brazil,2.0
2001,18,Damiano Tommasi,Roma,Italy,2.0
2001,18,Sami Hyypiä,Liverpool,Finland,2.0
2001,18,Emmanuel Olisadebe,Panathinaikos,Poland,2.0
2001,18,Ebbe Sand,Schalke 04,Denmark,2.0
2001,25,Roberto Baggio,Brescia,Italy,1.0
2001,25,Steven Gerrard,Liverpool,England,1.0
2001,25,Rui Costa,Milan,Portugal,1.0
2001,28,Sonny Anderson,Lyon,Brazil,0.0
2001,28,Fabien Barthez,Manchester United,France,0.0
2001,28,Gabriel Batistuta,Roma,Argentina,0.0
2001,28,Gianluigi Buffon,Parma / Juventus,Italy,0.0
2001,28,Cafu,Roma,Brazil,0.0
2001,28,Vincent Candela,Roma,France,0.0
2001,28,Alessandro Del Piero,Juventus,Italy,0.0
2001,28,Marcel Desailly,Chelsea,France,0.0
2001,28,Rio Ferdinand,Leeds United,England,0.0
2001,28,Ryan Giggs,Manchester United,Wales,0.0
2001,28,Jimmy Floyd Hasselbaink,Chelsea,Netherlands,0.0
2001,28,Iván Helguera,Real Madrid,Spain,0.0
2001,28,Harry Kewell,Leeds United,Australia,0.0
2001,28,Patrick Kluivert,Barcelona,Netherlands,0.0
2001,28,Samuel Kuffour,Bayern Munich,Ghana,0.0
2001,28,Hidetoshi Nakata,Roma / Parma,Japan,0.0
2001,28,Pavel Nedvěd,Lazio / Juventus,Czech Republic,0.0
2001,28,Pauleta,Bordeaux,Portugal,0.0
2001,28,Robert Pires,Arsenal,France,0.0
2001,28,Paul Scholes,Manchester United,England,0.0
2001,28,Lilian Thuram,Parma / Juventus,France,0.0
2001,28,Patrick Vieira,Arsenal,France,0.0
2001,28,Eric Carrière,Nantes,France,0.0
2002,1,Ronaldo,Internazionale /  Real Madrid,Brazil,169.0
2002,2,Roberto Carlos,Real Madrid,Brazil,145.0
2002,3,Oliver Kahn,Bayern Munich,Germany,110.0
2002,4,Zinedine Zidane,Real Madrid,France,78.0
2002,5,Michael Ballack,Bayer Leverkusen /  Bayern Munich,Germany,71.0
2002,6,Thierry Henry,Arsenal,France,54.0
2002,7,Raúl,Real Madrid,Spain,38.0
2002,8,Rivaldo,Barcelona / Milan,Brazil,31.0
2002,9,Yıldıray Baştürk,Bayer Leverkusen,Turkey,13.0
2002,10,Alessandro Del Piero,Juventus,Italy,12.0
2002,11,Hasan Şaş,Galatasaray,Turkey,10.0
2002,12,Ronaldinho,Paris Saint-Germain,Brazil,8.0
2002,13,Michael Owen,Liverpool,England,5.0
2002,13,Ruud van Nistelrooy,Manchester United,Netherlands,5.0
2002,15,Bernd Schneider,Bayer Leverkusen,Germany,4.0
2002,15,Juan Carlos Valerón,Deportivo La Coruña,Spain,4.0
2002,15,Cafu,Roma,Brazil,4.0
2002,15,Patrick Vieira,Arsenal,France,4.0
2002,19,Lúcio,Bayer Leverkusen,Brazil,3.0
2002,19,Luís Figo,Real Madrid,Portugal,3.0
2002,21,Papa Bouba Diop,Lens,Senegal,2.0
2002,21,El Hadji Diouf,Lens / Liverpool,Senegal,2.0
2002,21,Rio Ferdinand,Leeds United /  Manchester United,England,2.0
2002,24,Rubén Baraja,Valencia,Spain,1.0
2002,24,Filippo Inzaghi,Milan,Italy,1.0
2002,24,Roy Makaay,Deportivo La Coruña,Netherlands,1.0
2003,1,Pavel Nedvěd,Juventus,Czech Republic,190.0
2003,2,Thierry Henry,Arsenal,France,128.0
2003,3,Paolo Maldini,Milan,Italy,123.0
2003,4,Andriy Shevchenko,Milan,Ukraine,67.0
2003,5,Zinedine Zidane,Real Madrid,France,64.0
2003,6,Ruud van Nistelrooy,Manchester United,Netherlands,61.0
2003,7,Raúl,Real Madrid,Spain,32.0
2003,8,Roberto Carlos,Real Madrid,Brazil,27.0
2003,9,Gianluigi Buffon,Juventus,Italy,19.0
2003,10,David Beckham,Manchester United /  Real Madrid,England,17.0
2003,11,Ronaldo,Real Madrid,Brazil,11.0
2003,12,Henrik Larsson,Celtic,Sweden,6.0
2003,13,Alessandro Del Piero,Juventus,Italy,4.0
2003,13,Dida,Milan,Brazil,4.0
2003,13,Roy Makaay,Deportivo La Coruña /  Bayern Munich,Netherlands,4.0
2003,13,Alessandro Nesta,Milan,Italy,4.0
2003,13,Deco,Porto,Portugal,4.0
2003,18,Nihat Kahveci,Real Sociedad,Turkey,3.0
2003,18,Francesco Totti,Roma,Italy,3.0
2003,20,Michael Ballack,Bayern Munich,Germany,2.0
2003,20,Zlatan Ibrahimović,Ajax,Sweden,2.0
2003,22,Filippo Inzaghi,Milan,Italy,1.0
2003,22,Jan Koller,Borussia Dortmund,Czech Republic,1.0
2003,22,Adrian Mutu,Parma /  Chelsea,Romania,1.0
2003,22,Ronaldinho,Paris Saint-Germain /  Barcelona,Brazil,1.0
2003,22,Francesco Toldo,Internazionale,Italy,1.0
2004,1,Andriy Shevchenko,Milan,Ukraine,175.0
2004,2,Deco,Porto / Barcelona,Portugal,139.0
2004,3,Ronaldinho,Barcelona,Brazil,133.0
2004,4,Thierry Henry,Arsenal,France,80.0
2004,5,Theodoros Zagorakis,AEK Athens / Bologna,Greece,44.0
2004,6,Adriano,Parma / Internazionale,Brazil,27.0
2004,7,Pavel Nedvěd,Juventus,Czech Republic,23.0
2004,8,Wayne Rooney,Everton /  Manchester United,England,22.0
2004,9,Ricardo Carvalho,Porto / Chelsea,Portugal,18.0
2004,9,Ruud van Nistelrooy,Manchester United,Netherlands,18.0
2004,11,Angelos Charisteas,Werder Bremen,Greece,15.0
2004,12,Cristiano Ronaldo,Manchester United,Portugal,11.0
2004,12,Milan Baroš,Liverpool,Czech Republic,11.0
2004,14,Zlatan Ibrahimović,Ajax / Juventus,Sweden,8.0
2004,15,Samuel Eto'o,Mallorca / Barcelona,Cameroon,7.0
2004,15,Kaká,Milan,Brazil,7.0
2004,17,Traianos Dellas,Roma,Greece,5.0
2004,17,Fernando Morientes,Monaco /  Real Madrid,Spain,5.0
2004,17,Frank Lampard,Chelsea,England,5.0
2004,17,Didier Drogba,Marseille / Chelsea,Ivory Coast,5.0
2004,17,Gianluigi Buffon,Juventus,Italy,5.0
2004,22,Luís Figo,Real Madrid,Portugal,4.0
2004,23,Zinedine Zidane,Real Madrid,France,3.0
2004,24,Rubén Baraja,Valencia,Spain,2.0
2004,24,Ludovic Giuly,Monaco / Barcelona,France,2.0
2004,24,Maniche,Porto,Portugal,2.0
2004,24,Antonios Nikopolidis,Panathinaikos / Olympiacos,Greece,2.0
2004,28,Paolo Maldini,Milan,Italy,1.0
2004,28,Vicente,Valencia,Spain,1.0
2005,1,Ronaldinho,Barcelona,Brazil,225.0
2005,2,Frank Lampard,Chelsea,England,148.0
2005,3,Steven Gerrard,Liverpool,England,142.0
2005,4,Thierry Henry,Arsenal,France,41.0
2005,5,Andriy Shevchenko,Milan,Ukraine,33.0
2005,6,Paolo Maldini,Milan,Italy,23.0
2005,7,Adriano,Internazionale,Brazil,22.0
2005,8,Zlatan Ibrahimović,Juventus,Sweden,21.0
2005,9,Kaká,Milan,Brazil,19.0
2005,10,Samuel Eto'o,Barcelona,Cameroon,18.0
2005,10,John Terry,Chelsea,England,18.0
2005,12,Juninho,Lyon,Brazil,15.0
2005,13,Claude Makélélé,Chelsea,France,8.0
2005,14,Juan Román Riquelme,Villarreal,Argentina,7.0
2005,14,Petr Čech,Chelsea,Czech Republic,7.0
